purchase_day_of_week,purchase_hour_of_day,Avg_Delivery_Time,Avg_Shipping_Time,Late_Rate,Order_Count
Tuesday,11,11.46,8.6,0.05,1056
Tuesday,12,11.86,8.9,0.08,898
Tuesday,13,11.27,8.27,0.06,1045
Tuesday,14,11.53,8.72,0.06,1124
Tuesday,15,12.14,8.87,0.08,1047
Tuesday,16,11.88,8.96,0.06,1081
Tuesday,17,11.44,8.67,0.07,966
Tuesday,18,12.08,9.23,0.08,877
Tuesday,19,11.62,8.98,0.07,924
Tuesday,20,11.07,8.46,0.06,988
Tuesday,21,11.72,8.99,0.09,1027
Tuesday,22,11.34,8.67,0.07,965
Tuesday,23,11.87,9.18,0.08,692
Wednesday,0,12.77,10.19,0.08,397
Wednesday,1,11.5,9.1,0.06,179
Wednesday,2,11.41,8.38,0.06,81
Wednesday,3,13.35,10.58,0.09,33
Wednesday,4,9.52,7.52,0.03,33
Wednesday,5,12.5,9.5,0.07,27
Wednesday,6,11.56,9.42,0.05,92
Wednesday,7,12.07,9.02,0.08,211
Wednesday,8,11.18,8.28,0.06,517
Wednesday,9,11.72,8.77,0.05,829
Wednesday,10,11.81,8.79,0.05,1042
Wednesday,11,11.97,9.03,0.06,1062
Wednesday,12,12.16,8.93,0.08,919
Wednesday,13,12.23,9.13,0.07,1029
Wednesday,14,11.92,8.86,0.06,1050
Wednesday,15,11.84,8.65,0.07,983
Wednesday,16,11.97,8.86,0.06,1039
Wednesday,17,11.9,8.6,0.07,967
Wednesday,18,12.18,9.17,0.06,852
Wednesday,19,12.3,9.41,0.06,848
Wednesday,20,12.12,9.28,0.06,904
Wednesday,21,11.89,9.0,0.08,963
Wednesday,22,12.25,9.53,0.08,878
Wednesday,23,11.82,9.08,0.07,615
